"plotID","Doses","Dolomite","ID","Replicates","plantID","germination","spanLong","spanShort","flower","weightAll","Dolomite_bin","realizedG","cover"
1,7,0,6,1,1,"y",46,29,"y",20,0,1,1047.7211499722
1,7,0,6,1,10,"y",46,33,"y",21,0,1,1192.23441203733
1,7,0,6,1,11,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,12,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,13,"y",47,32,"y",20,0,1,1181.23883774976
1,7,0,6,1,14,"y",44,32,"y",16,0,1,1105.84061406361
1,7,0,6,1,15,"y",53,28,"y",10,0,1,1165.53087448181
1,7,0,6,1,16,"y",50,22,"y",9,0,1,863.937979737193
1,7,0,6,1,17,"y",37,23,"y",10,0,1,668.373837051229
1,7,0,6,1,18,"y",56,11,"y",3,0,1,483.805268652828
1,7,0,6,1,19,"y",48,15,"y",18,0,1,565.486677646163
1,7,0,6,1,2,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,20,"y",52,23,"y",17,0,1,939.336203423348
1,7,0,6,1,21,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,22,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,23,"y",47,31,"n",19,0,1,1144.32512407008
1,7,0,6,1,24,"y",34,33,"y",9,0,1,881.216739331937
1,7,0,6,1,25,"y",48,23,"y",18,0,1,867.079572390783
1,7,0,6,1,26,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,27,"y",49,33,"y",8,0,1,1269.98883021367
1,7,0,6,1,28,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,29,"y",49,36,"y",16,0,1,1385.4423602331
1,7,0,6,1,3,"y",45,26,"y",23,0,1,918.915851175014
1,7,0,6,1,30,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,31,"y",51,35,"y",12,0,1,1401.93572166445
1,7,0,6,1,32,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,33,"y",44,28,"y",15,0,1,967.610537305656
1,7,0,6,1,34,"y",41,20,"y",5,0,1,644.026493985908
1,7,0,6,1,35,"y",35,25,"y",5,0,1,687.223392972767
1,7,0,6,1,36,"y",51,37,"y",24,0,1,1482.04633433098
1,7,0,6,1,37,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,38,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,39,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,4,"n",NA,NA,NA,NA,0,0,NA
1,7,0,6,1,5,"y",NA,NA,NA,NA,0,1,NA
1,7,0,6,1,6,"y",NA,NA,NA,NA,0,1,NA
1,7,0,6,1,7,"y",37,18,"y",4,0,1,523.075176822701
1,7,0,6,1,8,"y",43,20,"y",12,0,1,675.442420521806
1,7,0,6,1,9,"y",43,25,"y",14,0,1,844.303025652257
112,20,0,11,5,1,"y",60,58,"y",45,0,1,2733.18560862312
112,20,0,11,5,10,"y",52,45,"y",55,0,1,1837.83170235003
112,20,0,11,5,11,"y",59,43,"y",40,0,1,1992.55514053933
112,20,0,11,5,12,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,13,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,14,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,15,"y",45,41,"y",22,0,1,1449.05961146829
112,20,0,11,5,16,"y",61,37,"y",22,0,1,1772.64365478804
112,20,0,11,5,17,"y",56,34,"y",5,0,1,1495.39810310874
112,20,0,11,5,18,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,19,"y",NA,NA,NA,NA,0,1,NA
112,20,0,11,5,2,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,20,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,21,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,22,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,23,"y",NA,NA,NA,NA,0,1,NA
112,20,0,11,5,24,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,25,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,26,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,27,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,28,"y",62,51,"y",80,0,1,2483.42899266273
112,20,0,11,5,29,"y",NA,NA,NA,NA,0,1,NA
112,20,0,11,5,3,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,30,"y",49,44,"y",61,0,1,1693.3184402849
112,20,0,11,5,31,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,32,"y",62,36,"y",61,0,1,1753.0087007031
112,20,0,11,5,33,"y",61,38,"y",52,0,1,1820.55294275529
112,20,0,11,5,34,"n",NA,NA,NA,21,0,0,NA
112,20,0,11,5,35,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,36,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,37,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,38,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,39,"y",74,54,"y",94,0,1,3138.4510609362
112,20,0,11,5,4,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,5,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,6,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,7,"y",59,48,"y",15,0,1,2224.24759874157
112,20,0,11,5,8,"n",NA,NA,NA,NA,0,0,NA
112,20,0,11,5,9,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,1,"y",39,28,"y",10,0,1,857.654794430013
12,0,0,1,1,10,"y",39,38,"n",NA,0,1,1163.96007815502
12,0,0,1,1,11,"y",50,35,"y",11,0,1,1374.44678594553
12,0,0,1,1,12,"y",42,30,"y",26,0,1,989.601685880785
12,0,0,1,1,13,"y",45,39,"y",25,0,1,1378.37377676252
12,0,0,1,1,14,"y",55,40,"y",29,0,1,1727.87595947439
12,0,0,1,1,15,"y",38,29,"y",NA,0,1,865.508776063988
12,0,0,1,1,16,"y",47,39,"y",35,0,1,1439.63483350752
12,0,0,1,1,17,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,18,"y",NA,NA,NA,NA,0,1,NA
12,0,0,1,1,19,"y",46,37,"y",18,0,1,1336.74767410246
12,0,0,1,1,2,"y",58,49,"y",45,0,1,2232.10158037555
12,0,0,1,1,20,"y",50,33,"y",42,0,1,1295.90696960579
12,0,0,1,1,21,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,22,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,23,"y",NA,NA,NA,NA,0,1,NA
12,0,0,1,1,24,"y",48,40,"y",23,0,1,1507.9644737231
12,0,0,1,1,25,"y",51,44,"n",10,0,1,1762.43347866387
12,0,0,1,1,26,"y",40,31,"n",26,0,1,973.893722612836
12,0,0,1,1,27,"y",47,38,"y",31,0,1,1402.72111982784
12,0,0,1,1,28,"y",53,31,"y",13,0,1,1290.40918246201
12,0,0,1,1,29,"y",51,36,"y",25,0,1,1441.99102799772
12,0,0,1,1,3,"y",46,36,"y",4,0,1,1300.61935858617
12,0,0,1,1,30,"y",50,34,"y",5,0,1,1335.17687777566
12,0,0,1,1,31,"y",NA,NA,NA,NA,0,1,NA
12,0,0,1,1,32,"y",50,38,"y",5,0,1,1492.25651045515
12,0,0,1,1,33,"y",55,34,"y",27,0,1,1468.69456555323
12,0,0,1,1,34,"y",42,30,"y",25,0,1,989.601685880785
12,0,0,1,1,35,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,36,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,37,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,38,"y",53,37,"y",33,0,1,1540.1657984224
12,0,0,1,1,39,"y",49,46,"y",34,0,1,1770.28746029785
12,0,0,1,1,4,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,5,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,6,"n",NA,NA,NA,NA,0,0,NA
12,0,0,1,1,7,"y",58,37,"y",21,0,1,1685.46445865092
12,0,0,1,1,8,"y",45,32,"y",NA,0,1,1130.97335529233
12,0,0,1,1,9,"y",58,39,"y",42,0,1,1776.57064560503
13,5,0,5,1,1,"y",43,33,"y",19,0,1,1114.47999386098
13,5,0,5,1,10,"n",33,27,"n",NA,0,1,699.789763587126
13,5,0,5,1,11,"y",44,38,"y",34,0,1,1313.18572920053
13,5,0,5,1,12,"y",44,23,"y",5,0,1,794.822941358218
13,5,0,5,1,13,"n",65,44,"y",49,0,1,2246.2387473167
13,5,0,5,1,14,"y",45,25,"y",20,0,1,883.572933822129
