"plotID","Doses","Dolomite","ID","Replicates","flooded","nGer0","nGerG","nGerW","yield","m.cover","m.weight","n_pod1","n_pod2","Dolomite_bin","Frass","nRealizedG","p.fruit"
1,7,0,6,1,"N",26,24,24,1.64,954.422393145274,0.0136666666666667,18,21,0,700,26,0.923076923076923
2,20,0,11,1,"N",34,33,31,3.865,1814.84095611239,0.0249354838709677,25,33,0,2000,34,0.911764705882353
9,11,0,8,1,"N",31,32,27,3.435,2119.05333223153,0.0254444444444444,16,29,0,1100,32,0.84375
12,0,0,1,1,"N",30,27,24,2.825,1390.03839393002,0.0235416666666667,14,24,0,0,30,0.8
13,5,0,5,1,"N",28,29,27,2.755,1282.31145657043,0.0204074074074074,21,27,0,500,29,0.931034482758621
14,0.4,0,2,1,"N",29,29,27,1.285,556.197313161841,0.00951851851851852,8,20,0,40,29,0.931034482758621
16,13,0,9,1,"N",33,33,28,3.645,1899.52115809325,0.0260357142857143,17,27,0,1300,33,0.848484848484849
17,9,0,7,1,"N",31,30,24,3.425,1897.20780350288,0.0285416666666667,17,26,0,900,31,0.774193548387097
23,30,0,12,1,"N",31,30,25,3.86,2094.42128233198,0.03088,23,29,0,3000,31,0.806451612903226
27,3,0,4,2,"N",32,31,27,3.22,919.599907639909,0.0238518518518519,14,28,0,300,32,0.84375
30,7,0,6,2,"N",28,28,27,3.975,1502.74718592339,0.0294444444444444,15,27,0,700,28,0.964285714285714
33,0.4,0,2,2,"N",29,30,23,2.855,1124.21893108711,0.0248260869565217,23,29,0,40,30,0.766666666666667
35,15,0,10,2,"N",25,24,22,4.005,2243.12987958659,0.0364090909090909,9,23,0,1500,25,0.88
37,30,0,12,2,"N",25,22,23,4.9,2539.6920610952,0.0426086956521739,18,21,0,3000,25,0.92
38,11,0,8,2,"N",29,29,27,4.115,1857.54790452083,0.0304814814814815,21,23,0,1100,29,0.931034482758621
40,5,0,5,2,"N",27,27,27,3.43,1514.04403728421,0.0254074074074074,18,27,0,500,27,1
41,0.8,0,3,2,"N",32,30,27,2.37,795.451259888936,0.0175555555555556,22,28,0,80,32,0.84375
48,13,0,9,2,"N",35,33,34,4.79,1708.43140494421,0.0281764705882353,24,33,0,1300,35,0.971428571428571
49,9,0,7,3,"N",33,31,30,4.61,1535.80810538677,0.0307333333333333,20,29,0,900,33,0.909090909090909
50,0.4,0,2,3,"N",14,13,13,2.07,1036.42349946794,0.0318461538461539,8,13,0,40,14,0.928571428571429
51,0,0,1,3,"N",27,27,23,3.225,1034.98024643264,0.0280434782608696,18,25,0,0,27,0.851851851851852
52,5,0,5,3,"N",21,21,20,3.295,1353.54023483415,0.03295,9,20,0,500,21,0.952380952380952
58,7,0,6,3,"N",28,28,28,2.885,1145.55932118399,0.0206071428571429,22,28,0,700,28,1
71,3,0,4,3,"N",21,20,20,2.565,893.586760405447,0.02565,17,20,0,300,21,0.952380952380952
72,15,0,10,3,"N",14,11,12,2.66,2535.26527144696,0.0443333333333333,6,11,0,1500,14,0.857142857142857
82,0.8,0,3,4,"N",19,18,17,2.655,1337.40217257195,0.0312352941176471,16,17,0,80,19,0.894736842105263
83,3,0,4,4,"N",13,15,13,2.08,1399.37008766401,0.032,10,13,0,300,15,0.866666666666667
85,0,0,1,4,"N",12,10,11,2.035,1327.95121467241,0.037,10,11,0,0,12,0.916666666666667
86,5,0,5,4,"N",24,24,24,3.415,1007.37131932765,0.0284583333333333,17,22,0,500,24,1
98,15,0,10,5,"N",19,19,17,3.605,1833.16065011509,0.0424117647058824,16,19,0,1500,19,0.894736842105263
99,30,0,12,5,"N",19,18,20,3.83,2013.06275925026,0.0383,13,17,0,3000,19,1
112,20,0,11,5,"N",15,12,13,2.865,2032.80679641345,0.0440769230769231,8,11,0,2000,15,0.866666666666667
